t,service_id,service_name,arrival_rate,departure_rate,avg_latency_ms,queue_size,e2e_latency_ms
10.0,0,Service 0,385.0,385.0,3.5845429741752755,1,3.5845429741752755
10.200000000000001,0,Service 0,390.0,385.0,8.270452882379972,2,8.270452882379972
10.4,0,Service 0,415.0,415.0,4.171732320211706,2,4.171732320211706
10.600000000000001,0,Service 0,450.0,460.0,5.338032756442667,0,5.338032756442667
10.8,0,Service 0,475.0,435.0,5.095151388835264,8,5.095151388835264
11.0,0,Service 0,465.0,480.0,4.0546072825218085,5,4.0546072825218085
11.200000000000001,0,Service 0,460.0,485.0,6.242469337411373,0,6.242469337411373
11.4,0,Service 0,440.0,430.0,5.550571008856256,2,5.550571008856256
11.600000000000001,0,Service 0,370.0,370.0,4.303627665679599,2,4.303627665679599
11.8,0,Service 0,395.0,390.0,3.1076725652470674,3,3.1076725652470674
12.0,0,Service 0,490.0,470.0,4.473535012619669,7,4.473535012619669
12.200000000000001,0,Service 0,360.0,390.0,11.293538615533931,1,11.293538615533931
12.4,0,Service 0,465.0,430.0,5.382730509534535,8,5.382730509534535
12.600000000000001,0,Service 0,445.0,485.0,7.322480727267823,0,7.322480727267823
12.8,0,Service 0,460.0,460.0,7.831037190107455,0,7.831037190107455
13.0,0,Service 0,445.0,445.0,4.2850171378205975,0,4.2850171378205975
13.200000000000001,0,Service 0,390.0,385.0,3.4289317585747843,1,3.4289317585747843
13.4,0,Service 0,425.0,420.0,5.6738510302505105,2,5.6738510302505105
13.600000000000001,0,Service 0,475.0,465.0,6.004052998450231,4,6.004052998450231
13.8,0,Service 0,405.0,425.0,3.2216544345358242,0,3.2216544345358242
14.0,0,Service 0,475.0,465.0,7.074461386334201,2,7.074461386334201
14.200000000000001,0,Service 0,415.0,400.0,3.7129430552721887,5,3.7129430552721887
14.4,0,Service 0,465.0,490.0,5.269962951786926,0,5.269962951786926
14.600000000000001,0,Service 0,445.0,445.0,3.272961146467475,0,3.272961146467475
14.8,0,Service 0,390.0,380.0,3.698131629849993,2,3.698131629849993
15.0,0,Service 0,405.0,415.0,6.570761925698508,0,6.570761925698508
15.200000000000001,0,Service 0,455.0,445.0,3.0858777533293056,2,3.0858777533293056
15.4,0,Service 0,435.0,430.0,3.2619913685491895,3,3.2619913685491895
15.600000000000001,0,Service 0,435.0,450.0,3.8514265350265875,0,3.8514265350265875
15.8,0,Service 0,410.0,400.0,2.796285692427136,2,2.796285692427136
16.0,0,Service 0,460.0,465.0,4.567180062003457,1,4.567180062003457
16.2,0,Service 0,405.0,405.0,2.2468239716948992,1,2.2468239716948992
16.400000000000002,0,Service 0,375.0,380.0,4.085627747165629,0,4.085627747165629
16.6,0,Service 0,475.0,470.0,5.241377811195793,1,5.241377811195793
16.8,0,Service 0,400.0,405.0,2.750339616515163,0,2.750339616515163
17.0,0,Service 0,455.0,440.0,4.5470825231752805,3,4.5470825231752805
17.2,0,Service 0,505.0,470.0,5.631276048662882,10,5.631276048662882
17.400000000000002,0,Service 0,450.0,480.0,8.224713349538153,4,8.224713349538153
17.6,0,Service 0,450.0,460.0,4.979186680014219,2,4.979186680014219
17.8,0,Service 0,450.0,455.0,3.2278260468708133,1,3.2278260468708133
18.0,0,Service 0,430.0,435.0,5.650254761732713,0,5.650254761732713
18.2,0,Service 0,330.0,325.0,3.2195244844142112,1,3.2195244844142112
18.400000000000002,0,Service 0,460.0,455.0,3.2609465415787837,2,3.2609465415787837
18.6,0,Service 0,435.0,430.0,2.927664731259029,3,2.927664731259029
18.8,0,Service 0,490.0,485.0,8.757419276884319,4,8.757419276884319
19.0,0,Service 0,505.0,480.0,14.339099472643447,9,14.339099472643447
19.200000000000003,0,Service 0,520.0,560.0,5.7512382735508565,1,5.7512382735508565
19.400000000000002,0,Service 0,485.0,460.0,6.390205006440598,6,6.390205006440598
19.6,0,Service 0,475.0,505.0,12.046364806370306,0,12.046364806370306
19.8,0,Service 0,450.0,445.0,4.2123616719583525,1,4.2123616719583525
20.0,0,Service 0,455.0,455.0,6.194374393273673,1,6.194374393273673
20.200000000000003,0,Service 0,415.0,415.0,3.4694631794668704,1,3.4694631794668704
20.400000000000002,0,Service 0,385.0,380.0,4.050234341858765,2,4.050234341858765
20.6,0,Service 0,460.0,465.0,6.7429574681925075,1,6.7429574681925075
