source,target
s1_avg_queue_size,s1_avg_throughput
s1_avg_queue_size,s1_departure_rate
s1_avg_queue_size,s2_arrival_rate
s1_avg_queue_size,s2_avg_queue_size
s1_avg_queue_size,s2_avg_throughput
s1_avg_queue_size,s2_departure_rate
s1_avg_queue_size,s3_avg_queue_size
s1_avg_queue_size,s3_avg_throughput
s1_avg_queue_size,s3_departure_rate
s1_avg_queue_size,s4_arrival_rate
s1_avg_queue_size,s4_avg_latency
s1_avg_queue_size,s4_avg_queue_size
s1_avg_queue_size,s4_avg_throughput
s1_avg_queue_size,s4_departure_rate
s1_avg_queue_size,s5_arrival_rate
s1_avg_queue_size,s5_avg_queue_size
s1_avg_queue_size,s5_avg_throughput
s1_avg_queue_size,s5_departure_rate
s1_avg_queue_size,s6_avg_throughput
s1_avg_queue_size,s6_departure_rate
s1_avg_queue_size,s7_arrival_rate
s1_avg_queue_size,s7_avg_queue_size
s1_avg_queue_size,s7_avg_throughput
s1_avg_queue_size,s7_departure_rate
s1_avg_queue_size,s8_arrival_rate
s1_avg_queue_size,s8_avg_throughput
s1_avg_queue_size,s8_departure_rate
s1_avg_queue_size,wf0_avg_e2e_latency
s1_avg_queue_size,wf1_avg_e2e_latency
s1_avg_threads,node1_avg_cpu_threads
s1_avg_threads,node1_cpu_usage_pct
s1_avg_threads,s1_avg_latency
s1_avg_threads,s1_avg_queue_size
s1_avg_threads,s2_avg_latency
s1_avg_threads,s2_avg_queue_size
s1_avg_threads,s2_avg_throughput
s1_avg_threads,s4_avg_latency
s1_avg_threads,s4_avg_threads
s1_avg_threads,s5_avg_queue_size
s1_avg_threads,wf2_violation_rate
s1_avg_throughput,node0_cpu_usage_pct
s1_avg_throughput,node1_cpu_usage_pct
s1_avg_throughput,node2_cpu_usage_pct
s1_avg_throughput,s2_avg_latency
s1_avg_throughput,s2_avg_queue_size
s1_avg_throughput,s2_avg_throughput
s1_avg_throughput,s3_arrival_rate
s1_avg_throughput,s3_avg_throughput
s1_avg_throughput,s3_departure_rate
s1_avg_throughput,s4_arrival_rate
s1_avg_throughput,s4_avg_latency
s1_avg_throughput,s4_avg_throughput
s1_avg_throughput,s4_departure_rate
s1_avg_throughput,s5_arrival_rate
s1_avg_throughput,s5_departure_rate
s1_avg_throughput,s6_arrival_rate
s1_avg_throughput,s6_avg_queue_size
s1_avg_throughput,s7_avg_latency
s1_avg_throughput,s7_avg_queue_size
s1_avg_throughput,s8_avg_latency
s1_avg_throughput,wf0_violation_rate
s1_departure_rate,node2_cpu_usage_pct
s1_departure_rate,s2_arrival_rate
s1_departure_rate,s2_avg_latency
s1_departure_rate,s2_avg_queue_size
s1_departure_rate,s2_departure_rate
s1_departure_rate,s3_arrival_rate
s1_departure_rate,s3_avg_throughput
s1_departure_rate,s3_departure_rate
s1_departure_rate,s4_arrival_rate
s1_departure_rate,s4_avg_latency
s1_departure_rate,s4_avg_queue_size
s1_departure_rate,s4_avg_throughput
s1_departure_rate,s4_departure_rate
s1_departure_rate,s5_arrival_rate
s1_departure_rate,s5_avg_latency
s1_departure_rate,s5_avg_queue_size
s1_departure_rate,s5_avg_throughput
s1_departure_rate,s5_departure_rate
s1_departure_rate,s6_avg_latency
s1_departure_rate,s6_avg_queue_size
s1_departure_rate,s6_avg_throughput
s1_departure_rate,s6_departure_rate
s1_departure_rate,s7_arrival_rate
s1_departure_rate,s7_avg_queue_size
s1_departure_rate,s7_departure_rate
